id,單字,中文,主題,詞性,例句,例句中文,emoji,干擾字1,干擾字2,干擾字3
ani-001,bat,蝙蝠,animals,n,Bats fly at night.,蝙蝠在晚上飛。,🦇,whale,snail,panda
ani-002,cage,籠子,animals,n,The parrot is in a cage.,鸚鵡在籠子裡。,,roof,net,map
ani-003,dolphin,海豚,animals,n,Dolphins jump out of the water.,海豚跳出水面。,🐬,shark,whale,penguin
ani-004,feed,餵,animals,v,I feed my rabbit every day.,我每天餵我的兔子。,🥣,wash,carry,catch
ani-005,fly,蒼蠅,animals,n,There is a fly in my soup!,我的湯裡有一隻蒼蠅！,,snail,kitten,parrot
ani-006,kangaroo,袋鼠,animals,n,Kangaroos can hop very well.,袋鼠很會跳。,🦘,panda,lion,rabbit
ani-007,kitten,小貓,animals,n,The kitten is playing with a ball.,小貓在玩球。,🐱,puppy,rabbit,parrot
ani-008,lion,獅子,animals,n,The lion is sleeping under the tree.,獅子在樹下睡覺。,🦁,panda,kangaroo,shark
ani-009,panda,貓熊,animals,n,Pandas eat leaves all day.,貓熊整天吃葉子。,🐼,lion,kangaroo,whale
ani-010,parrot,鸚鵡,animals,n,My parrot can say my name.,我的鸚鵡會說我的名字。,🦜,penguin,kitten,fly
ani-011,penguin,企鵝,animals,n,Penguins live where it is cold.,企鵝住在很冷的地方。,🐧,parrot,dolphin,snail
ani-012,puppy,小狗,animals,n,The puppy likes to run and jump.,小狗喜歡跑跑跳跳。,🐶,kitten,rabbit,lion
ani-013,rabbit,兔子,animals,n,The rabbit is eating a carrot.,兔子在吃紅蘿蔔。,🐰,kitten,puppy,kangaroo
ani-014,shark,鯊魚,animals,n,Sharks have a lot of teeth.,鯊魚有很多牙齒。,🦈,whale,dolphin,penguin
ani-015,snail,蝸牛,animals,n,A snail is very slow.,蝸牛非常慢。,🐌,fly,bat,kitten
ani-016,whale,鯨魚,animals,n,A whale is bigger than a shark.,鯨魚比鯊魚大。,🐳,dolphin,shark,panda
foo-001,bottle,瓶子,food,n,There is a bottle of water on the table.,桌上有一瓶水。,🍼,glass,cup,bowl
